"","UCM_Number","Canister","Class","Order","Family","Subfamily","Genus","Species","Element","Notes","Museum_Number","name"
"179","NSF-16-182","A2/L4","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","lower left M2","posterior broken","LACMP23-28312","Microtus"
"180","NSF-16-183","A2/L4","Mammalia","Rodentia","Cricetidae","Neotominae","cf. Peromyscus","","moderately worn lower left m2","","LACMP23-28313","Peromyscus"
"181","NSF-16-184","A2/L4","Mammalia","Rodentia","Sciuridae","","Otospermophilus","cf. beecheyi","partial upper right P4","","LACMP23-28314","Otospermophilus beecheyi"
"182","NSF-16-185","A2/L4","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","lower left tooth","","LACMP23-28315","Sylvilagus"
"183","NSF-16-186","A2/L4","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","upper right M1","","LACMP23-28316","Microtus"
"184","NSF-16-187","A2/L4","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper left tooth","","LACMP23-28317","Sylvilagus"
"185","NSF-16-188","A2/L4","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","lower right m1","","LACMP23-28318","Microtus"
"186","NSF-16-189","A2/L4","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","upper molar fragment","","LACMP23-28319","Microtus"
"187","NSF-16-190","A2/L4","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","upper left M2","anterior loop broken","LACMP23-28320","Microtus"
"188","NSF-16-191","A2/L4","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","upper right M1 fragment","","LACMP23-28321","Microtus"
"189","NSF-16-192","A2/L4","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","lower left tooth (2 frags)","","LACMP23-28322; LACMP23-28323","Sylvilagus"
"190","NSF-16-193","A2/L4","Mammalia","Carnivora","Canidae","","Canis","sp.","upper right incisor fragment","","LACMP23-28324","Canis"
"191","NSF-16-194","A2/L4","Mammalia","Rodentia/Lagomorpha","","","","","misc. incisors and tooth frags","","Not Cataloged",NA
"192","NSF-16-195","A2/L5","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","lower right m1","","LACMP23-28325","Microtus"
"193","NSF-16-196","A2/L5","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","lower right m1","","LACMP23-28326","Microtus"
"194","NSF-16-197","A2/L5","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","lower right m1","","LACMP23-28327","Microtus"
"195","NSF-16-198","A2/L5","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","lower left m1","","LACMP23-28328","Microtus"
"196","NSF-16-199","A2/L5","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","upper right M1","","LACMP23-28329","Microtus"
"197","NSF-16-200","A2/L5","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","upper left M1","","LACMP23-28330","Microtus"
"198","NSF-16-201","A2/L5","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","upper right M3","","LACMP23-28331","Microtus"
"199","NSF-16-202","A2/L5","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","upper left M3","","LACMP23-28333","Microtus"
"200","NSF-16-203","A2/L5","Mammalia","Rodentia","Sciuridae","","Otospermophilus","cf. beecheyi","upper left P4","","LACMP23-28334","Otospermophilus beecheyi"
"201","NSF-16-204","A2/L5","Mammalia","Rodentia","Sciuridae","","Otospermophilus","cf. beecheyi","upper left M3","","LACMP23-28335","Otospermophilus beecheyi"
"202","NSF-16-205","A2/L5","Mammalia","Rodentia","Sciuridae","","Otospermophilus","cf. beecheyi","partial upper right P4","","LACMP23-28336","Otospermophilus beecheyi"
"203","NSF-16-206","A2/L5","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","right maxilla and zygoma w/ P3","","LACMP23-28337","Sylvilagus"
"204","NSF-16-207","A2/L5","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper right tooth","","LACMP23-28338","Sylvilagus"
"205","NSF-16-208","A2/L5","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper right tooth","","LACMP23-28339","Sylvilagus"
"206","NSF-16-209","A2/L5","Mammalia","Rodentia","Geomyidae","","Thomomys","cf. bottae","upper left P4","","LACMP23-28340","Thomomys bottae"
"207","NSF-16-210","A2/L5","Mammalia","Rodentia/Lagomorpha","","","","","Misc. rodent/lagomorph partial teeth, incisors, and skull frags","","Not Cataloged",NA
"208","NSF-16-211","A2/L5","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","cf. audubonii","juv. lower right p3","enamel band complexity b/w typical S. bachmani and S. audubonii","LACMP23-28341","Sylvilagus audobonii"
"209","NSF-16-212","A2/L5","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","lower left tooth","","LACMP23-28332","Sylvilagus"
"210","NSF-16-213","A2/L5","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper right tooth","","LACMP23-28342","Sylvilagus"
"211","NSF-16-214","A2/L5","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","maxillary frag w/ tooth alveolus","","LACMP23-28343","Sylvilagus"
"212","NSF-16-215","A2/L5","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","upper right M3","","LACMP23-28344","Microtus"
"213","NSF-16-216","A2/L5","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","lower m3","","LACMP23-28345","Sylvilagus"
"214","NSF-16-217","A2/L5","Mammalia","Carnivora","Mustelidae","","Mustela","cf. frenata","lower right m2","","LACMP23-28390","Mustela frenata"
"215","NSF-16-218","A2/L5","Mammalia","Lagomorpha","Leporidae","","cf. Sylvilagus","sp.","partial tooth","","LACMP23-28391","Sylvilagus"
"216","NSF-16-219a","A2/L5","Mammalia","Rodentia","Cricetidae","Arvicolinae","cf. Microtus","","molar frag","","LACMP23-28392","Microtus"
"217","NSF-16-219b","A2/L5","Mammalia","Rodentia","Cricetidae","Arvicolinae","cf. Microtus","","molar frag","","LACMP23-28393","Microtus"
"218","NSF-16-220","A2/L5","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","partial molar","","LACMP23-28394","Microtus"
"219","NSF-16-221","A2/L5","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","upper right M2","","LACMP23-28395","Microtus"
"220","NSF-16-222","A2/L5","Mammalia","Rodentia","","","","","anterior left dentary frag","","LACMP23-28396",NA
"221","NSF-16-223","A2/L5","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","upper right M2","occlusal surface worn/broken","LACMP23-28397","Microtus"
"222","NSF-16-224","A2/L5","Mammalia","Rodentia","Cricetidae","","","","lower molar","broken in three frags","LACMP23-28398",NA
"223","NSF-16-225","A2/L5","Mammalia","cf. Rodentia","","","","","tooth","strange looking","LACMP23-28399",NA
"224","NSF-16-226","A2/L5","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","lower right m2","","LACMP23-28400","Microtus"
"225","NSF-16-227","A2/L5","Mammalia","Rodentia","Cricetidae","Neotominae","Peromyscus","sp.","upper left M1","","LACMP23-28401","Peromyscus"
"226","NSF-16-228","A2/L5","Mammalia","Lagomorpha","Leporidae","","cf. Sylvilagus","sp.","partial tooth","","LACMP23-28402","Sylvilagus"
"227","NSF-16-229a","A2/L5","Mammalia","Rodentia","Cricetidae","Arvicolinae","cf. Microtus","","molar frag","","LACMP23-28403","Microtus"
"228","NSF-16-229b","A2/L5","Mammalia","Rodentia","Cricetidae","Arvicolinae","cf. Microtus","","molar frag","","LACMP23-28404","Microtus"
"229","NSF-16-230","A2/L5","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","upper left M2","","LACMP23-28503","Microtus"
"230","NSF-16-231","A2/L5","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","upper left M3","","LACMP23-28504","Microtus"
"231","NSF-16-232","A2/L5","Mammalia","Rodentia","Sciuridae","","cf. Otospermophilus","beecheyi","upper left M1/M2","looks different, possibly due to wear","LACMP23-28505","Otospermophilus"
"232","NSF-16-233","A2/L5","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","lower right m2","","LACMP23-28506","Microtus"
"233","NSF-16-234","A2/L5","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","molar frag","","LACMP23-28507","Microtus"
"234","NSF-16-235","A2/L5","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper left tooth cap","","LACMP23-28508","Sylvilagus"
"235","NSF-16-415","A2/L6","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","juv. lower tooth","","LACMP23-29225","Sylvilagus"
"236","NSF-16-416","A2/L6","Mammalia","Rodentia","","","","","upper incisor ","","LACMP23-29226",NA
"237","NSF-16-249","B1/L2","Mammalia","Carnivora","Mephitidae","","Mephitis","mephitis","lower right m2","","LACMP23-28522","Mephitis mephitis"
"238","NSF-16-250","B1/L2","Mammalia","Carnivora","","","","","incisor","","LACMP23-28523",NA
"239","NSF-16-251","B1/L2","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","partial molar","","LACMP23-28524","Microtus"
"240","NSF-16-252","B1/L2","Mammalia","Rodentia","Cricetidae","Neotominae","Reithrodontomys","cf. megalotis","lower right m1","","LACMP23-28525","Reithrodontomys megalotis"
"241","NSF-16-253","B1/L2","Mammalia","Rodentia","cf. Cricetidae","Neotominae","","","maxillary frag w/ tooth alveolus","","LACMP23-28526",NA
"242","NSF-16-254","B1/L2","Mammalia","Rodentia","Sciuridae","","Otospermophilus","cf. beecheyi","juv. lower right m1","","LACMP23-28527","Otospermophilus beecheyi"
"243","NSF-16-255","B1/L2","Mammalia","Rodentia","Sciuridae","","Otospermophilus","cf. beecheyi","upper left P4","","LACMP23-28528","Otospermophilus beecheyi"
"244","NSF-16-256","B1/L2","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","left anterior dentary frag","","LACMP23-28529","Sylvilagus"
"245","NSF-16-257","B1/L2","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","lower tooth","weathered","LACMP23-28530","Sylvilagus"
"246","NSF-16-258","B1/L2","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper left tooth frag","","LACMP23-28531","Sylvilagus"
"247","NSF-16-259","B1/L2","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper left tooth frag","","LACMP23-28532","Sylvilagus"
"248","NSF-16-260","B1/L2","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper tooth frag","","LACMP23-28533","Sylvilagus"
"249","NSF-16-261","B1/L2","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper left tooth frag","","LACMP23-28534","Sylvilagus"
"250","NSF-16-262","B1/L2","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper tooth frag","","LACMP23-28535","Sylvilagus"
"251","NSF-16-263","B1/L2","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper tooth frag","","LACMP23-28536","Sylvilagus"
"252","NSF-16-264","B1/L2","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","juv. upper right P2","","LACMP23-28537","Sylvilagus"
"253","NSF-16-236","B1/L3","Mammalia","Rodentia","Cricetidae","Neotominae","Neotoma","","lower left m1","","LACMP23-28509","Neotoma"
"254","NSF-16-237","B1/L3","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","lower right m2","","LACMP23-28510","Microtus"
"255","NSF-16-238","B1/L3","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","lower left m3","","LACMP23-28511","Microtus"
"256","NSF-16-239","B1/L3","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","molar frag","","LACMP23-28512","Microtus"
"257","NSF-16-240","B1/L3","Mammalia","Rodentia","Cricetidae","Neotominae","cf. Peromyscus","","right dentary frag w/o teeth","","LACMP23-28513","Peromyscus"
"258","NSF-16-241","B1/L3","Mammalia","Rodentia","Cricetidae","Neotominae","Peromyscus","sp.","upper left M2","","LACMP23-28514","Peromyscus"
"259","NSF-16-242","B1/L3","Mammalia","Rodentia","Cricetidae","Neotominae","Peromyscus","sp.","lower right m1","","LACMP23-28515","Peromyscus"
"260","NSF-16-243","B1/L3","Mammalia","Rodentia","Cricetidae","Neotominae","cf. Peromyscus","","lower left m2","relatively high-crowed, possibly Onychomys","LACMP23-28516","Peromyscus"
"261","NSF-16-244","B1/L3","Mammalia","Rodentia","Cricetidae","Neotominae","cf. Peromyscus","","lower left m2 frag","","LACMP23-28517","Peromyscus"
"262","NSF-16-245","B1/L3","Mammalia","Rodentia","Sciuridae","","","","lower molar fragment","","LACMP23-28518",NA
"263","NSF-16-246","B1/L3","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","audubonii","juv. lower right p3","","LACMP23-28519","Sylvilagus audobonii"
"264","NSF-16-247","B1/L3","Mammalia","Lagomorpha","Leporidae","","cf. Sylvilagus","sp.","upper right tooth","","LACMP23-28520","Sylvilagus"
"265","NSF-16-248","B1/L3","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper tooth frag","","LACMP23-28521","Sylvilagus"
"266","NSF-16-265","B1/L4","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","lower left m1","fractured anteriorly","LACMP23-28538","Microtus"
"267","NSF-16-266","B1/L4","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","upper right M1","fractured posteriorly","LACMP23-28539","Microtus"
"268","NSF-16-267","B1/L4","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","upper left M1","fractured posteriorly","LACMP23-28540","Microtus"
"269","NSF-16-268","B1/L4","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","lower left m2","","LACMP23-28541","Microtus"
"270","NSF-16-269","B1/L4","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","lower left m2","","LACMP23-28542","Microtus"
"271","NSF-16-270","B1/L4","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","molar frag","","LACMP23-28543","Microtus"
"272","NSF-16-271","B1/L4","Mammalia","Rodentia","Cricetidae","Arvicolinae","cf. Microtus","sp.","right dentary frag w/ tooth alveolus","","LACMP23-28544","Microtus"
"273","NSF-16-272","B1/L4","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","right dentary frag w/ tooth alveolus","","LACMP23-28545","Microtus"
"274","NSF-16-273","B1/L4","Mammalia","Rodentia","Cricetidae","Neotominae","Onychomys","torridus","lower left m1","","LACMP23-28546","Onychomys torridus"
"275","NSF-16-274","B1/L4","Mammalia","Rodentia","Geomyidae","","Thomomys","cf. bottae","upper right P4","","LACMP23-28547","Thomomys bottae"
"276","NSF-16-275","B1/L4","Mammalia","Rodentia","Geomyidae","","Thomomys","sp.","upper left M1/M2","","LACMP23-28548","Thomomys"
"277","NSF-16-276","B1/L4","Mammalia","Rodentia","Sciuridae","","Otospermophilus","cf. beecheyi","upper left M3 ","","LACMP23-28549","Otospermophilus beecheyi"
"278","NSF-16-277","B1/L4","Mammalia","Rodentia","Sciuridae","","cf. Otospermophilus","beecheyi","partial lower left m3","","LACMP23-28550","Otospermophilus"
"279","NSF-16-278","B1/L4","Mammalia","Rodentia","Sciuridae","","Otospermophilus","cf. beecheyi","lower left p4","","LACMP23-28551","Otospermophilus beecheyi"
"280","NSF-16-279","B1/L4","Mammalia","Rodentia","Sciuridae","","cf. Otospermophilus","beecheyi","partial lower right p4","lingual half missing","LACMP23-28552","Otospermophilus"
"281","NSF-16-280","B1/L4","Mammalia","Carnivora","","","","","posterior lower left premolar frag","","LACMP23-28553",NA
"282","NSF-16-281","B1/L4","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper tooth","broken occlusal surface","LACMP23-28554","Sylvilagus"
"283","NSF-16-282","B1/L4","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","audubonii","juv. lower left p3","","LACMP23-28555","Sylvilagus audobonii"
"284","NSF-16-283","B1/L4","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","cf. bachmani","juv. lower right p3","","LACMP23-28556","Sylvilagus bachmani"
"285","NSF-16-284","B1/L4","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper left tooth","","LACMP23-28557","Sylvilagus"
"286","NSF-16-285","B1/L4","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","right premaxilla","","LACMP23-28558","Sylvilagus"
"287","NSF-16-286","B1/L4","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","left maxilla w/o teeth","","LACMP23-28559","Sylvilagus"
"288","NSF-16-287","B1/L4","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","right maxilla fragment","","LACMP23-28560","Sylvilagus"
"289","NSF-16-321","B1/L5","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","upper left M3","","LACMP23-28622","Microtus"
"290","NSF-16-322","B1/L5","Mammalia","Rodentia","Cricetidae","Neotominae","","","right posterior jaw frag","","LACMP23-28623",NA
"291","NSF-16-323","B1/L5","Mammalia","Rodentia","Sciuridae","","cf. Otospermophilus","beecheyi","lower right m3","","LACMP23-28624","Otospermophilus"
"292","NSF-16-324","B1/L5","Mammalia","Rodentia","Sciuridae","","","","lower molar","","LACMP23-28625",NA
"293","NSF-16-325","B1/L5","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper tooth frag","","LACMP23-28626","Sylvilagus"
"294","NSF-16-326","B1/L5","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper tooth frag","","LACMP23-28627","Sylvilagus"
"295","NSF-16-291","B1/L8","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","audubonii","lower left p3","","LACMP23-28592","Sylvilagus audobonii"
"296","NSF-16-292","B1/L8","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","left maxilla w/ upper P3","","LACMP23-28593","Sylvilagus"
"297","NSF-16-293","B1/L8","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","right maxillary/palatal frag","","LACMP23-28594","Sylvilagus"
"298","NSF-16-294","B1/L8","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","left dentary frag w/ p4 and m1","","LACMP23-28595","Sylvilagus"
"299","NSF-16-295","B1/L8","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper left tooth","","LACMP23-28596","Sylvilagus"
"300","NSF-16-296","B1/L8","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper left tooth cap","","LACMP23-28597","Sylvilagus"
"301","NSF-16-297","B1/L8","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","lower left tooth","","LACMP23-28598","Sylvilagus"
"302","NSF-16-298","B1/L8","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","lower right tooth","","LACMP23-28599","Sylvilagus"
"303","NSF-16-299","B1/L8","Mammalia","Carnivora","Mephitidae","","cf. Spilogale","","posterior left dentary fragment","m2 and partial m1 alveolus preserved","LACMP23-28600","Spilogale"
"304","NSF-16-300","B1/L8","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","right partial dentary w/o teeth","","LACMP23-28601","Microtus"
"305","NSF-16-301","B1/L8","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","lower right m2","","LACMP23-28602","Microtus"
"306","NSF-16-302","B1/L8","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","lower right m3","","LACMP23-28603","Microtus"
"307","NSF-16-303","B1/L8","Mammalia","Rodentia","Cricetidae","Neotominae","cf. Peromyscus","","left maxillary frag w/o teeth","","LACMP23-28604","Peromyscus"
"308","NSF-16-304","B1/L8","Mammalia","Rodentia","Sciuridae","","","","right maxilla w/o teeth","","LACMP23-28605",NA
"309","NSF-16-305","B1/L8","Mammalia","Rodentia","Sciuridae","","cf. Otospermophilus","beecheyi","lower right m1","","LACMP23-28606","Otospermophilus"
"310","NSF-16-306","B1/L8","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","right anterior dentary frag w/ m1","","LACMP23-28607","Microtus"
"311","NSF-16-307","B1/L8","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","upper left M1","","LACMP23-28608","Microtus"
"312","NSF-16-308","B1/L8","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","right anterior dentary frag","","LACMP23-28609","Sylvilagus"
"313","NSF-16-309","B1/L8","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","left premaxilla with incisor","","LACMP23-28610","Sylvilagus"
"314","NSF-16-310","B1/L8","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper right tooth","","LACMP23-28611","Sylvilagus"
"315","NSF-16-311","B1/L8","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper right tooth","","LACMP23-28612","Sylvilagus"
"316","NSF-16-312","B1/L8","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper left tooth","","LACMP23-28613","Sylvilagus"
"317","NSF-16-313","B1/L8","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper right tooth","","LACMP23-28614","Sylvilagus"
"318","NSF-16-314","B1/L8","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper tooth frag","","LACMP23-28615","Sylvilagus"
"319","NSF-16-315","B1/L8","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","lower right tooth","","LACMP23-28616","Sylvilagus"
"320","NSF-16-316","B1/L8","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","lower right tooth","","LACMP23-28617","Sylvilagus"
"321","NSF-16-317","B1/L8","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","lower right tooth","","LACMP23-28618","Sylvilagus"
"322","NSF-16-318","B1/L8","Mammalia","Carnivora","Mustelidae","","cf. Mustela","frenata","upper left P3","","LACMP23-28619","Mustela frenata"
"323","NSF-16-319","B1/L8","Mammalia","Carnivora","Mustelidae","","cf. Taxidea","taxus","left P2/right p2","","LACMP23-28620","Taxidea taxus"
"324","NSF-16-320","B1/L8","Mammalia","Carnivora","Canidae","","Canis","latrans","lower right p2","","LACMP23-28621","Canis latrans"
"325","NSF-16-14","B2/L2","Mammalia","Rodentia/Lagomorpha","","","","","incisor","","LACMP23-28094",NA
"326","NSF-16-15","B2/L2","Mammalia","Rodentia/Lagomorpha","","","","","incisor","","LACMP23-28095",NA
"327","NSF-16-16","B2/L2","Mammalia","Lagomorpha","Leporidae","","","","lower right tooth","Occlusal surface partially broken","LACMP23-28096",NA
"328","NSF-16-17","B2/L2","Mammalia","Rodentia","Sciuridae","","Otospermophilus","cf. beecheyi","upper left M3","","LACMP23-28097","Otospermophilus beecheyi"
"329","NSF-16-18","B2/L2","Mammalia","Rodentia","Sciuridae","","cf. Otospermophilus","beecheyi","partial lower left molar","","LACMP23-28098","Otospermophilus"
"330","NSF-16-19","B2/L2","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","lower right tooth","Occlusal surface partially broken","LACMP23-28099","Sylvilagus"
"331","NSF-16-20a","B2/L2","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","Left upper M1","","LACMP23-28100","Microtus"
"332","NSF-16-20b","B2/L2","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","upper left M2","anterior loop broken","LACMP23-28101","Microtus"
"333","NSF-16-21","B2/L2","Mammalia","Rodentia","Heteromyidae","","cf. Dipodomys","sp.","tooth frag","","LACMP23-28102","Dipodomys"
"334","NSF-16-22","B2/L2","Mammalia","Rodentia","Sciuridae","","Otospermophilus","cf. beecheyi","partial juv. lower right molar","","LACMP23-28103","Otospermophilus beecheyi"
"335","NSF-16-23","B2/L2","Mammalia","Rodentia","Sciuridae","","Otospermophilus","cf. beecheyi","upper right M3","","LACMP23-28104","Otospermophilus beecheyi"
"336","NSF-16-24a","B2/L2","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","lower right p3","","LACMP23-28105","Sylvilagus"
"337","NSF-16-24b","B2/L2","Mammalia","Lagomorpha","Leporidae","","","","tooth frag","","LACMP23-28106",NA
"338","NSF-16-25","B2/L2","Mammalia","Rodentia","Sciuridae","","cf. Otospermophilus","beecheyi","lower molar fragment","","LACMP23-28107","Otospermophilus"
"339","NSF-16-26","B2/L2","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","lower right m3","","LACMP23-28108","Microtus"
"340","NSF-16-27","B2/L2","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","lower tooth frag","Moderate occlusal deformation","LACMP23-28109","Sylvilagus"
"341","NSF-16-28","B2/L2","Mammalia","Carnivora","Canidae","","Canis","cf. latrans","lower right i1","","LACMP23-28110","Canis latrans"
"342","NSF-16-29","B2/L2","Mammalia","Lagomorpha","Leporidae","","cf. Sylvilagus","","upper tooth fragment","","LACMP23-28111","Sylvilagus"
"343","NSF-16-30","B2/L2","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","upper left M1","","LACMP23-28112","Microtus"
"344","NSF-16-31","B2/L2","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","lower left m1/m2","anterior portion broken","LACMP23-28113","Microtus"
"345","NSF-16-32","B2/L2","Mammalia","Lagomorpha","Leporidae","","Sylvilagus","sp.","upper M3","","LACMP23-28114","Sylvilagus"
"346","NSF-16-33","B2/L2","Mammalia","cf. Rodentia","cf. Geomyidae","","","","molariform tooth","Occlusal surface partially broken","LACMP23-28115",NA
"347","NSF-16-34","B2/L2","Mammalia","Lagomorpha","Leporidae","","cf. Sylvilagus","","partial tooth","","LACMP23-28116","Sylvilagus"
"348","NSF-16-35","B2/L2","Mammalia","Misc","","","","","Misc. partial rodent/lagomorph teeth and incisors","","LACMP23-28117; LACMP23-28118; LACMP23-28119; LACMP23-28120; LACMP23-28121; LACMP23-28122; LACMP23-28123; LACMP23-28124; LACMP23-28125; LACMP23-28126; LACMP23-28127",NA
"349","NSF-16-36","B2/L2","Mammalia","Rodentia","Cricetidae","Neotominae","Reithrodontomys","cf. megalotis","upper right M1","","LACMP23-28128","Reithrodontomys megalotis"
"350","NSF-16-37","B2/L2","Mammalia","Rodentia","cf. Heteromyidae","","","","worn upper right dP4","large for Dipodomys","",NA
"351","NSF-16-38","B2/L2","Mammalia","???","","","","","tooth","","",NA
"352","NSF-16-39","B2/L2","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","","lower m1","anterior and posterior loops broken","LACMP23-28129","Microtus"
"353","NSF-16-40","B2/L2","Mammalia","Lagomorpha","Leporidae","","cf. Sylvilagus","","partial tooth","","LACMP23-28130","Sylvilagus"
"354","NSF-16-41","B2/L2","Insecta","Hymenoptera","Formicidae","","","","ant cranium","Exceptionally well preserved","",NA
"355","NSF-16-42","B2/L2","Mammalia","Rodentia","Cricetidae","Arvicolinae","cf. Microtus","sp.","molar fragment","","LACMP23-28131","Microtus"
"356","NSF-16-43","B2/L2","Mammalia","Rodentia","Sciuridae","","cf. Otospermophilus","beecheyi","lower molar fragment","","LACMP23-28132","Otospermophilus"
"357","NSF-16-44","B2/L2","Mammalia","Rodentia","Cricetidae","Neotominae","cf. Peromyscus","","lower left m1","caked w/ matrix","LACMP23-28133","Peromyscus"
"358","NSF-16-45","B2/L2","Mammalia","Rodentia","Cricetidae","Arvicolinae","Microtus","sp.","upper right M1","","LACMP23-28134","Microtus"
