"Name"	"Element"	"Units"	"B2/L2"	"C3/L5"	"B3/L5"	"D2/L4"	"C2/L4"	"B2/L5"	"C2/L3"	"B2/L6"	"D2/L6"	"C3/L6"	"B3/L3"	"C2/L2"	"D3/L6"	"B3/L6"	"C3/L4"	"C3/L7"	"D3/L7"	"D2/L7"	"C2/L7"	"B2/L7"	"B3/L7"	"D2/L3"	"misc"	"D3/L5"
"?Mustela frenata"	"bone/tooth"	"present/absent"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Canis cf latrans"	"bone/tooth"	"present/absent"	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""
"Neotamias/Tamias sp"	"bone/tooth"	"present/absent"	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"1"	""	""	""	""	""	""	""	""	""
"Mammalia-cf Carnivora"	"bone/tooth"	"present/absent"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Mammalia-cf Rodentia"	"bone/tooth"	"present/absent"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Capromeryx minor"	"bone/tooth"	"present/absent"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""
"Sylvilagus cf bachmani"	"bone/tooth"	"present/absent"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	"1"	"1"	"1"	""	"1"	"1"	""	"1"	""
"Sylvilagus cf audubonii"	"bone/tooth"	"present/absent"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	"1"	""	""	"1"	""	""	""	""	""
"Otospermophilus beecheyi"	"bone/tooth"	"present/absent"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Spilogale gracilis"	"bone/tooth"	"present/absent"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"?Otospermophilus beecheyi"	"bone/tooth"	"present/absent"	""	""	""	""	""	""	""	""	""	""	""	""	"1"	""	"1"	""	""	""	""	""	""	""	"1"	"1"
